"Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril, Canada, mai 2023",,,,,,,,,,
,,,,,,,,,,
Nom commun,Nom scientifique,Groupe d'espèces,Désignation de la Loi sur les espèces en péril,Version finale du document de rétablissement,COSEWIC Date de réévaluation,Date du rapport sur les progrès de la mise en œuvre du programme de rétablissement,Objectifs du document de rétablissement,Données sur les espèces,Logique,Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril
Tortue de l'Ouest,Actinemys marmorata,Reptile,Disparue du pays,12/30/2015,5/1/2023,,Le rétablissement n'est pas réalisable sur les plans biologique et technique. On ne connait l'existence d'aucun individu capable de se reproduire en Columbie-Britannique et l’abondance des populations possibles d'être soumises à la translocation atteint des seuils critiques.,L’espèce n’a pas été observée dans la nature au Canada depuis 1961.,Le rétablissement n’est pas considéré comme réalisable sur les plans biologique et technique au cours des cinq prochaines années.,Irréalisable
Phasque de Vlassov,Microbryum vlassovii,Mousse,En voie de disparition,9/21/2012,11/1/2016,11/1/2016,"Maintenir la seule population existante connue de cette espèce dans son emplacement au Canada. Maintenir ou augmenter la taille actuelle de la population dans cet emplacement, ainsi que toute autre population existante qui pourrait être repérée.",Cette mousse n’est présente que dans 3 sites localisés du centre-sud de la Colombie-Britannique. Un des sites a disparu et un autre n’a pas été vu depuis 1980.,Une sous-population persiste mais le nombre d’individus matures est inconnu.,Données insuffisantes pour déterminer les tendances
Lapin de Nuttall de la sous-espèce nuttallii,Sylvilagus nuttallii nuttallii,Mammifère,Préoccupante,12/30/2015,11/1/2016,11/1/2016,Maintenir ou accroître l'abondance de la population dans toute l'aire de répartition actuelle de l'espèce en Colombie-Britannique.,"L'espèce a une aire de répartition restreinte au sud des vallées de l’Okanagan et de la Similkameen. Cet habitat connaît un déclin depuis la moitié du 19e siècle, et la perte d’habitat devrait se poursuivre. Le nombre d’individus matures est inconnu. ",Le nombre d’individus matures est inconnu.,Données insuffisantes pour déterminer les tendances
Moucherolle à côtés olive,Contopus cooperi,Oiseau,Menacée,3/4/2016,4/1/2018,12/23/2022,L'objectif à court terme est d'arrêter le déclin d'ici 2025 et limiter le déclin à 10 % au cours de cette période. L'objectif à long terme (après 2025) est d'avoir une tendance positive sur 10 ans. L'objectif de répartition est de maintenir la zone d'occurrence actuelle.,Les estimations provenant de diverses sources suggèrent que la population pourrait être relativement stable ou pourrait être en déclin d'au plus 19 % sur une période de 10 ans.,Le Boreal Avian Modelling Project ne fournit pas d'évidence d'un déclin dans la population entre 1997 et 2013. Le Breeding Bird Survey estime un déclin annuel de 2.1 % de 2006 à 2016.,Preuves mitigées
Huître plate du Pacifique,Ostrea lurida,Mollusc,Préoccupante,7/30/2009,5/1/2011,9/8/2017,Maintenir des populations stables en Colombie-Britannique.,"Même si la population a connu des déclins à grande échelle associés à la surpêche entre la fin du 19e siècle et 1930, elle semble être demeurée stable au cours des dernières décennies. On ne dispose d'aucune donnée sur les tendances des populations, mais elles semblent persister à de faibles niveaux.","Bien qu'on ne dispose pas d'estimations quantitatives de la taille des populations, l'effectif de l'huître plate du Pacifique semble être demeuré stable au cours des dernières décennies.",Montre des progrès
Rat kangourou d'Ord,Dipodomys ordii,Mammifère,En voie de disparition,11/30/2012,4/1/2017,4/1/2017,Assurer le maintien de populations autosuffisantes dans les zones de dunes actuellement occupées par l’espèce dans le sud-est de l’Alberta et le sud-ouest de la Saskatchewan.,Le suivi annuel normalisé des populations de l’espèce en Alberta révèle un déclin de l’abondance de 72 % entre 2006 et 2015. Ces constats sont considérés comme représentatifs de la population canadienne entière.,La population est en déclin.,Ne montre aucun progrès
Hespérie ottoé,Hesperia ottoe,Insecte,En voie de disparition,4/15/2010,5/1/2015,5/1/2015,Déterminer si des populations de l'hespérie Ottoé sont présentes au Canada.,n/d,n/d,Objectifs opérationnels
Couleuvre à nez mince du Pacifique,Pituophis catenifer catenifer,Reptile,Disparue du pays,12/22/2017,5/1/2023,,Le rétablissement n'est pas réalisable sur les plans biologique ou technique.,Aucun individu indigène n’a été observé dans la nature au Canada depuis 1957.,Le rétablissement n’est pas réalisable sur les plans biologique et technique.,Irréalisable
Musaraigne de Bendire,Sorex bendirii,Mammifère,En voie de disparition,12/10/2014,4/1/2016,4/1/2016,Maintenir les populations existantes ainsi que leur habitat. Accroître le nombre et la distribution de ces populations dans l'aire de répartition naturelle de l'espèce.,Trop peu d'animaux ont été capturés pour permettre les tendances de la population d'être évalués. ,Les estimations de la population ne sont pas disponibles.,Données insuffisantes pour déterminer les tendances
Spatulaire,Polyodon spathula,"Poisson, eau douce",Disparue du pays,2/27/2008,5/1/2019,,Irréalisable,n/d,n/d,Irréalisable
Noctuelle jaune pâle des dunes,Copablepharon grandis,Insecte,Préoccupante,2/1/2016,11/1/2018,11/1/2018,Maintenir la persistance de la noctuelle jaune pâle des dunes à toutes les localités où la présence de l’espèce est connue et dont l’emplacement est confirmé.,Données insuffisantes pour évaluer la taille et les tendances de la population. Les sites historiques ont probablement diminué en raison de la perte d'habitat due à l'absence de croissance de la végétation et à la stabilisation des dunes.,L'habitat est en déclin car les dunes de sable se stabilisent avec la végétation,Données insuffisantes pour déterminer les tendances
Épinoche à trois épines benthique du lac Paxton,Gasterosteus aculeatus,"Poisson, eau douce",En voie de disparition,8/21/2019,4/1/2010,8/3/2022,Maintenir des populations autosuffisantes de la paire d'espèces d'épinoches dans le lac Paxton.,"Un marquage-recapture réalisé en 2016 a permis d'estimer la population d'épinoches benthiques de Paxton à 22 191 individus (intervalles de confiance à 95 % : 17 544, 28 991). Les épinoches limnétiques et benthiques sont localement abondantes et ne semblent pas en déclin. Leur endémisme extrême (présence dans un seul emplacement), et non le déclin des populations, est le principal facteur qui détermine leur statut de conservation.",Il semble que les spécimens benthiques sont stables et abondants localement dans le lac Paxton.,Montre des progrès
Épinoche à trois épines limnétique du lac Paxton,Gasterosteus aculeatus,"Poisson, eau douce",En voie de disparition,8/21/2019,4/1/2010,8/3/2022,Maintenir des populations autosuffisantes de la paire d'espèces d'épinoches dans le lac Paxton.,"La population d'épinoches limnétiques de Paxton estimée par marquage-recapture en 2016 est de 368 885 (intervalles de confiance à 95 % : 236 137, 842 518). Les épinoches limnétiques et benthiques sont localement abondantes et ne semblent pas en déclin. Leur endémisme extrême (présence dans un seul emplacement), et non le déclin des populations, est le principal facteur qui détermine leur statut de conservation.",Il semble que les spécimens limnétiques sont stables et abondants localement dans le lac Paxton.,Montre des progrès
Faucon pèlerin anatum/tundrius,Falco peregrinus anatum/tundrius,Oiseau,Non en péril,10/12/2017,11/1/2017,11/1/2017,"Maintenir, pendant les 10 prochaines années, une population autosuffisante du Faucon pèlerin anatum/tundrius dans toute son aire de répartition au Canada.","Après des baisses marquées au milieu du 20e siècle, cette espèce a connu un regain important au cours des dernières décennies, affichant de façon continue des hausses modérées à fortes dans de nombreuses parties du Canada depuis le dernier rapport de situation en 2007.",L'espèces est identifiée comme n'étant plus en péril.,Montre des progrès
Coréopsis rose,Coreopsis rosea,"Plante vasculaire, herbe",En voie de disparition,9/8/2010,11/1/2012,11/1/2012,Maintenir les populations existantes au niveau d'abondance actuel ou supérieur aux sites actuels. Restaurer les habitats pour rétablir les populations.,"On estime que la population canadienne est restée relativement stable au cours des 10 à 15 dernières années, avec de faibles déclins (moins de 2,2 %) liés à l'aménagement du rivage. L'estimation à la hausse de la taille des populations en 2012 s'explique de toute évidence par la réalisation de relevés plus systématiques et exhaustifs. Les relevés répétés menés dans certains sites sur de nombreuses années n'ont pas produit de mentions anecdotiques de déclins ou de hausses majeurs.","La population canadienne est relativement stable?; les estimations sont plus élevées, compte tenu de l'augmentation des efforts de recherche. ",Montre des progrès
Abronie rose,Abronia umbellata,"Plante vasculaire, herbe",En voie de disparition,2/14/2007,5/1/2004,4/3/2018,"Établir au moins 3 populations dans son aire de répartition historique, incluant la population de la baie Clo-oose d'ici 2015.",Les efforts de restauration ont été une réussite à deux des quatre sites et il est présentement impossible de conclure que les sous-populations qui ont été établies peuvent être considérées viable à long terme.,"En 2017, les efforts de réintroduction ont eu du succès à seulement deux sites.",Ne montre aucun progrès
Puffin à pieds roses,Puffinus creatopus,Oiseau,En voie de disparition,5/2/2008,11/1/2016,11/1/2016,Soutenir et augmenter les efforts internationaux visant à rétablir et à augmenter les populations.,n/d,n/d,Objectifs opérationnels
Pluvier siffleur de la sous-espèce circumcinctus,Charadrius melodus circumcinctus,Oiseau,En voie de disparition,10/25/2006,11/1/2013,11/1/2013,"Maintenir un minimum de 1626 individus adultes (813 couples) au cours de 3 recensements internationaux consécutifs (i.e., sur une période de 11 ans) au sein de la population des Prairies canadiennes.

Le programme de rétablissement a été modifié le 13 août 2007. Aucun changement n'a été apporté aux objectifs en matière de rétablissement établis en 2006.","D'après les plus récentes données du Recensement international du Pluvier siffleur (2011), la population canadienne compterait environ 1033 adultes de la sous-espèce de l'intérieur. Le nombre d'individus estimé est peut-être inférieur au nombre réel, car une inondation en 2011 a réduit la superficie de l'habitat disponible et refoulé les couples nicheurs dans des régions non couvertes par le recensement. Les inondations qui se sont produites à plusieurs reprises depuis le dernier recensement laissent toutefois croire à une réduction de la population. Les données sur les tendances démographiques de la sous-espèce font état d'une baisse à long terme (1991 à 2011) de 22,9 % et d'une baisse à court terme de 12 % au cours de la période de 2001 à 2011.",La population actuelle représente les 2 tiers de l'objectif en matière de population et semble en déclin.,Ne montre aucun progrès
Pluvier siffleur de la sous-espèce melodus,Charadrius melodus melodus,Oiseau,En voie de disparition,9/29/2022,11/1/2013,6/8/2022,"Objectif à court terme : atteindre et maintenir une population régionale de 255 couples et une productivité annuelle de 1,65 envol réussi par couple territorial. 
Objectif à long terme : accroître la population pour qu'elle atteigne 310 couples répartis dans l'Est canadien.","En 2011, le Recensement international du Pluvier siffleur, la population canadienne compterait environ 406 adultes. Les relevés annuels indiquaient 389 adultes en 2013. Les données des relevés annuels indiquent une baisse significative de 23 % de 2003 à 2013.",La population actuelle est inférieure à l'objectif en matière de population à court terme et elle est en déclin.,Ne montre aucun progrès
Sabatie de Kennedy,Sabatia kennedyana,"Plante vasculaire, herbe",En voie de disparition,9/8/2010,11/1/2012,11/1/2012,Maintenir les populations existantes au niveau d'abondance actuel ou supérieur aux sites actuels. Restaurer les habitats pour rétablir les populations.,"Les données d'inventaires dont on dispose ne permettent pas d'évaluer directement les tendances à long terme. Toutefois, il semble que les populations ont été relativement stables entre 1984 et 2011. Les données dont on dispose laissent entendre que la tendance de la population globale au Canada au cours des 15 dernières années correspondrait à un faible déclin de moins de 2 %. ","La stabilité relative est conforme au maintien des populations, mais un faible déclin pourrait avoir eu lieu.",Preuves mitigées
Fissident appauvri,Fissidens pauperculus,Mousse,En voie de disparition,4/15/2010,12/1/2022,,Protéger et maintenir la population existante.,"En 2000, une seule sous-population de 1,03 m2 d’air de répartition a été trouvée. Au total, 6 colonies ont été observées sur le site d’origine en 2009, et une petite colonie supplémentaire a été trouvée à proximité. Selon une estimation prudente, les colonies occupaient 3 à 6 m2 en 2021; la population totale est inconnue en raison de la petite taille de la plante et de sa répartition éparse.",Aucun déclin de la population ne peut être observé.,Montre des progrès
Bryum de Porsild,Haplodontium macrocarpum,Mousse,Menacée,7/6/2016,11/1/2017,11/1/2017,"Maintenir ou accroître le nombre de colonies et de sous-populations. Si possible, réétablir l'espèce à des emplacements historiques connus.","Présentement, sur 33 parcelles d'habitat, 79 % ont moins de 50 individus et 52 % ont moins de 20 individus, ce qui est moins que la taille minimale de 50 individus pour une population efficace génétiquement. En Alberta et à Terre-Neuve, les provinces qui contiennent la majorité des sous-populations connues, les tendances démontrent une perte d'environ 17 colonies.","Là où les données sur les tendances sont disponible (Alberta et Terre-Neuve), il y a eu un déclin global de 28 % dans le nombre de colonies au cours des trois dernières générations.",Ne montre aucun progrès
Hespérie de Poweshiek,Oarisma poweshiek,Insecte,En voie de disparition,9/27/2012,11/1/2014,11/1/2014,"Maintenir, dans la Réserve des Prairies à herbes hautes et ses environs, une population autosuffisante dans les sites reconnus comme étant occupés.","L'estimation de la taille de la population n'est pas disponible, mais un déclin est suspecté. La zone d'occupation a peu changé depuis 2002.","Le déclin de la population est incertain, la zone d'occupation est stable.",Preuves mitigées
Lupin élégant,Lupinus lepidus,"Plante vasculaire, herbe",En voie de disparition,8/11/2006,4/1/2009,4/1/2009,"Gérer et améliorer la seule population existante. Établir de nouvelles populations.

Une nouvelle population (2 sous-populations) a été confirmée au Canada depuis que les objectifs de rétablissement ont été fixés.","Au Canada, l'espèce comptait historiquement 9 populations connues, mais l'existence de seulement 2 populations peut être confirmée actuellement. Les relevés réguliers n'ayant pas fait depuis une période suffisamment longue, il est difficile d'évaluer les tendances dans l'effectif total ou la densité des populations. Il n'y a pas d'indice de déclin dans la population totale entre 1999 et 2009. Les sous-populations découvertes récemment étaient sans doute déjà présentes. Il se peut qu'une population persiste maintenant dans la banque de semences.",Rien ne prouve un déclin de la population totale et une autre population a été découverte. ,Montre des progrès
Paruline orangée,Protonotaria citrea,Oiseau,En voie de disparition,3/1/2011,11/1/2016,11/1/2016,"Rétablir la population canadienne d'au moins 40 couples reproducteurs répartis dans au moins 6 aires de nidification. D'ici 2015, accroître la population actuelle à un minimum de 15 à 20 couples soit répartie dans au moins 5 aires de nidification géographiquement distinctes.","Les effectifs sont demeurés stables ou n’ont baissé que légèrement, passant de 28-34 en 2005 à 28 individus matures en 2015. Au Canada, l’habitat de reproduction détériore continuellement à cause de la présence d’espèces envahissantes.","Malgré le ralentissement de taux de diminution, l'objectif pour 2015 n'était pas achevé. ",Ne montre aucun progrès
Escargot du Puget,Cryptomastix devia,Mollusc,Disparue du pays,6/23/2010,5/1/2013,5/1/2013,"Confirmer la présence ou l'absence de l'escargot du Puget au sein de l'aire de répartition historique de l'espèce. Protéger toute population existante qui serait trouvée, le cas échéant.",Aucun changement. Des recherches approfondies pour trouver l'espèce dans son aire de répartition historique ont été infructueuses.,Aucune nouvelle observation de cette espèce au Canada n'a été signalée.,Objectifs opérationnels
Petit-bec,Opsopoeodus emiliae,"Poisson, eau douce",Menacée,10/19/2009,5/1/2012,4/26/2022,Maintenir ou accroître les populations existantes et améliorer la qualité et la quantité de leur habitat d’ici 2029.,Il est difficile d’estimer la répartition et la taille de la population de façon fiable en l’absence de données détaillées sur l’abondance.,Des activités de suivi et d’évaluation supplémentaires devraient être menées pour affiner les aires de répartition et déterminer l’abondance de ces espèces.,Données insuffisantes pour déterminer les tendances
Méné camus,Notropis anogenus,"Poisson, eau douce",Menacée,1/25/2013,5/1/2013,4/21/2022,Maintenir des populations autosuffisantes aux localités existantes. Rétablir des populations autosuffisantes aux localités historiques lorsque cela est possible.,"Dans le cadre de projets de suivi et d’inventaire, des activités d’échantillonnage ciblé et plurispécifique ont été effectuées dans une grande partie de l’aire de répartition connue de l’espèce, ainsi que dans des zones où la présence du méné camus était soupçonnée, ce qui a mené à sa détection à plusieurs nouvelles localités. Des lacunes persistent sur le plan des connaissances, et il y a un certain nombre de localités où d’autres échantillonnages ciblés devraient être effectués, notamment la majorité des localités où l’espèce subsiste, les localités historiques, les nouvelles localités où l’espèce a été récemment détectée et les localités où sa présence est présumée.",Aucune tendance démographique n’est disponible. La découverte de l’espèce dans un certain nombre de nouvelles localités suggère également que les objectifs en matière de population et de répartition de cette espèce devraient être réévalués d’après les nouveaux renseignements obtenus.,Données insuffisantes pour déterminer les tendances
Fissident pygmée,Fissidens exilis,Mousse,Non en péril,6/17/2016,12/20/2016,,"Maintenir la présence de toutes les occurrences connues situées dans un habitat naturel, durant les cinq années suivant la publication de la version finale du présent plan de gestion dans le Registre public des espèces en péril.",Aucun déclin ni menace imminente directe ne sont connus pour cette espèce.,Il n'y a pas de données qui indiquent que cette espèce est actuellement en péril au Canada.,Montre des progrès
Iguane pygmée à cornes courtes,Phrynosoma douglasii,Reptile,Disparue du pays,12/22/2017,11/1/2018,11/1/2018,Le rétablissement de l’iguane pygmée à cornes courtes n’est pas jugé réalisable sur les plans technique et biologique. Cela pourrait être revu si des des populations reliques étaient découvertes et/ou si la réintroduction était jugée possible et appropriée.,Les occurrences confirmées incluent 2 spécimens. La dernière observation fiable date de 1957.,n/d,Irréalisable
Ophiogomphe de Howe,Ophiogomphus howei,Insecte,Préoccupante,4/18/2013,11/1/2018,11/1/2018,Maintenir la présence des populations existantes à tous les sites où leur présence a été confirmée et assurer la conservation des nouvelles occurrences qui sont recensées.,Les données disponibles sont insuffisantes pour déterminer les tendances de population.,Les données disponibles sont insuffisantes pour déterminer les tendances de population.,Données insuffisantes pour déterminer les tendances
Éperlan arc-en-ciel (Population d'individus de petite taille du lac Utopia),Osmerus mordax ,"Poisson, eau douce",Menacée,10/26/2016,11/1/2018,,"Maintenir la répartition et l'abondance des populations actuelles de petits et de grands éperlans arc-en-ciel du lac Utopia, ainsi que la diversité génétique de la paire d'espèces sympatriques de l'éperlan arc-en-ciel du lac Utopia.","Selon les échantillons prélevés de 1998 à ce jour, l’abondance des populations de la paire sympatrique du lac Utopia semble assez constante d’une année à l’autre."," La grande abondance des petits éperlans reproducteurs et le fait qu’ils ne soient présents que dans quelques-uns des affluents disponibles peuvent indiquer que le lac en lui-même a atteint sa capacité de charge maximale, du moins en ce qui concerne le petit éperlan (Curry et al., 2004). ",Montre des progrès
Villeuse haricot,Villosa fabalis,Mollusc,En voie de disparition,1/29/2007,4/1/2010,6/11/2013,Rétablir/maintenir des populations saines et autosuffisantes dans les rivières Sydenham et Thames et dans le delta du lac St.-Clair.,"Au Canada, la villeuse haricot n'est présente qu'en Ontario et son aire de répartition comprenait autrefois les rivières Détroit, Sydenham et Thames et l'ouest du lac Érié. L'aire de répartition actuelle comprend seulement la rivière Sydenham et une petite portion de la rivière Thames Nord. L'absence de rapports historiques ne permet pas d'établir l'estimation des changements dans la population. Toutefois, il semble que la population de la rivière Sydenham soit beaucoup plus importante que ce qui avait été documenté avant 2000. L'effectif de la population estimé récemment n'aurait pas pu passer inaperçu dans les études historiques.",La population de la rivière Sydenham semble avoir augmenté.,Montre des progrès
Bec-croisé des sapins de la sous-espèce percna,Loxia curvirostra percna,Oiseau,Menacée,10/25/2006,4/1/2016,,Empêcher la disparition de la sous-espèce percna de l'île de Terre-Neuve. Permettre à la population d'être autosuffisante.,"Des populations subsistent à Terre-Neuve, mais elles sont en déclin et l'on prévoit une perte d'habitat.",Les populations sont en déclin.,Ne montre aucun progrès
Bécasseau maubèche de la sous-espèce islandica,Calidris canutus islandica,Oiseau,Préoccupante,11/24/2017,11/1/2020,,Objectif de population à court terme : arrêter le déclin national avant 2025. Objectif de population à long terme : maintenir la population aux niveaux actuels. Objectif de répartition : maintenir l'aire de répartition actuelle au Canada pour la reproduction.,On estime à 128 000 individus au Canada avec une tendance stable ou légèrement fluctuante au cours des dernières trois générations. Il n'y a pas suffisamment de données pour déterminer s'il y a un déclin dans l'aire de répartition car des sources de données et méthodes différentes avaient été utilisées lors de l'évaluation précédente.,Il n'y a aucun déclin observé dans la population; la population semble stable.,Montre des progrès
Bécasseau maubèche de la sous-espèce rufa,Calidris canutus rufa,Oiseau,En voie de disparition,11/24/2017,11/1/2020,,"Objectif de population à court terme : arrêter le déclin national avant 2025. Objectif de population à long terme : augmenter et maintenir la population à, ou au-dessus de, 100 000-150 000 individus. Objectif de répartition : maintenir l'aire de répartition actuelle au Canada pour la reproduction; et conserver les sites canadiens d'escale identifiés et ayant au moins 1 % de la population actuelle (420 individus).","Il y a eu un déclin, passant de plus de 50 000 oiseaux en 1982 et 2000 à <10 000 in 2011 et 2018. On estime qu'il y a environ 7500 individus matures (déclin de 73 % depuis 1999). Selon les inventaires hivernaux passés, la population continue de décliner. Des sources de données et méthodes différentes avaient été utilisées lors de l'évaluation précédente et, par conséquent, les tendances de répartition ne peuvent être déterminées.",Il y a un déclin continu dans la population.,Ne montre aucun progrès
Mûrier rouge,Morus rubra,"Plante vasculaire, arbre",En voie de disparition,2/28/2011,11/1/2014,11/1/2014,Maintenir toutes les populations actuelles de l'espèce dans son aire de répartition au Canada (Ontario) et empêcher que le nombre d'individus ne continue à diminuer.,"La population canadienne connue comprend un total de 217 individus. Le nombre d'individus matures a diminué de 6,3 % depuis 2000 malgré la découverte continuelle de nouveaux arbres à certains sites. Trois des 19 sous-populations semblent s'être éteintes depuis 2000.",La taille de la population et sa distribution sont en déclin.,Ne montre aucun progrès
Gomphe riverain (Population des plaines des Grands Lacs),Stylurus amnicola,Insecte,En voie de disparition,10/21/2021,5/1/2023,,"Maintenir les deux populations locales existantes et la répartition actuelle de l’espèce au Canada, ainsi que toute nouvelle population locale qui serait découverte. ",Il est difficile d’évaluer la taille de la population totale car aucune estimation fiable n’a été réalisée.,Les tendances de la taille de la population canadienne sont inconnues puisque les relevés quantitatifs répétés n’ont pas été réalisés.,Données insuffisantes pour déterminer les tendances
Gonidée des Rocheuses,Gonidea angulata,Mollusc,Préoccupante,7/15/2011,11/1/2010,5/11/2023,"But de gestion : Maintenir des populations viables, autosuffisantes, écologiquement fonctionnelles et largement réparties dans des habitats adéquats dans son aire de répartition actuelle en Colombie-Britannique : 1) D'ici 2015, combler les lacunes dans les connaissances sur le cycle biologique, l'aire de répartition provinciale et les menaces qui pèsent sur la moule à crête des montagnes Rocheuses ; 2) D'ici 2015, inventorier 75 % des habitats littoraux potentiels dans le bassin hydrographique de la rivière Okanagan, à l'aide d'un protocole normalisé pour la collecte d'information sur l'habitat et les menaces à chaque site étudié ; 3) D'ici 2015, démontrer qu'un nombre accru d'activités d'intendance ont été lancées et menées à bien pour les gestionnaires des terres et les utilisateurs publics de l'habitat occupé par la moule à crête des montagnes Rocheuses ; 4) Au fur et à mesure que les résultats des recherches et des inventaires sur la moule à crête des montagnes Rocheuses deviennent disponibles, les intégrer à la planification de l'utilisation des terres afin d'inclure l'atténuation future des menaces et la protection de l'utilisation des terres.","Les informations sur la population des gonidées des Rocheuses sont limitées et les densités varient probablement en fonction de l'adéquation et de la qualité de l'habitat, un habitat de moindre qualité favorisant des densités de moules plus faibles.

","Des efforts supplémentaires devront être déployés afin d’atteindre l’objectif de gestion qui consiste à maintenir des populations de gonidée des Rocheuses qui sont viables, stables, fonctionnelles sur le plan écologique et largement répandues en Colombie-Britannique.",Données insuffisantes pour déterminer les tendances
"Chabot des montagnes Rocheuses, Populations de la rivière Missouri",Cottus sp. ,"Poisson, eau douce",Menacée,11/13/2012,11/1/2019,,"But du rétablissement et de protéger et de maintenir une population autonome de chabots des montagnes Rocheuses dans son aire de répartition actuelle, soit les bassins des rivières St. Mary et Milk au Canada Objectifs du rétablissement: 1. Mesurer et maintenir les effectifs actuels de la population de chabot des montagnes Rocheuses dans les bassins des rivières St. Mary et Milk (selon la fourchette des variations naturelles de la population), déterminés à partir d'une étude normalisée. 2. Améliorer les connaissances relatives à la taxonomie, aux caractéristiques du cycle biologique, à la biologie fondamentale et aux exigences en matière d'habitat du chabot des montagnes Rocheuses en vue de définir et de protéger l'habitat essentiel. 3. Mieux comprendre comment les activités humaines se répercutent sur la survie du chabot des montagnes Rocheuses dans le but d'élaborer des plans qui permettront d'éviter, d'éliminer ou d'atténuer ces menaces. ",0,"Il n'y a pas d'estimation spécifique pour cette population.
",Données insuffisantes pour déterminer les tendances
"Chabot des montagnes Rocheuses, Populations de la rivière Saskatchewan et du fleuve Nelson",Cottus sp.,"Poisson, eau douce",Menacée,11/13/2012,11/1/2019,,"But du rétablissement et de protéger et de maintenir une population autonome de chabots des montagnes Rocheuses dans son aire de répartition actuelle, soit les bassins des rivières St. Mary et Milk au Canada Objectifs du rétablissement: 1. Mesurer et maintenir les effectifs actuels de la population de chabot des montagnes Rocheuses dans les bassins des rivières St. Mary et Milk (selon la fourchette des variations naturelles de la population), déterminés à partir d'une étude normalisée. 2. Améliorer les connaissances relatives à la taxonomie, aux caractéristiques du cycle biologique, à la biologie fondamentale et aux exigences en matière d'habitat du chabot des montagnes Rocheuses en vue de définir et de protéger l'habitat essentiel. 3. Mieux comprendre comment les activités humaines se répercutent sur la survie du chabot des montagnes Rocheuses dans le but d'élaborer des plans qui permettront d'éviter, d'éliminer ou d'atténuer ces menaces. ",0,"Il n'y a pas d'estimation spécifique pour cette population.
",Données insuffisantes pour déterminer les tendances
Sterne de Dougall,Sterna dougallii,Oiseau,En voie de disparition,10/25/2006,5/1/2023,,"Avoir un minimum de 150 paires de Sternes de Dougall nichant dans au moins 3 colonies au Canada, et ce, d'ici 2015. Améliorer la productivité dans les colonies gérées. Restaurer une aire de répartition plus importante en établissant au moins 1 nouvelle colonie gérée.",La population reproductrice canadienne de la Sterne de Dougall compte entre 106 et 146 individus matures. Le nombre d’adultes reproducteurs et l’aire de répartition de l’espèce ont diminué d’environ 64 % sur 3 générations (1995-2019).,Cet effectif entre 106 et 146 individus est inférieur à l’objectif de population. Un déclin du nombre d’adultes reproducteurs a été observé dans les colonies connues. ,Ne montre aucun progrès
Mouette rosée,Rhodostethia rosea,Oiseau,Menacée,11/20/2007,4/1/2021,,(1) Maintenir la répartition actuelle connue et le nombre de paires de mouette rosée se reproduisant au Canada sur une moyenne de cinq ans.; (2) encourager des recherches et inventaires plus approfondis qui pourraient révéler des concentrations précédemment inconnues d'oiseaux nicheurs dans l'Arctique canadien; (3) protéger l'habitat de reproduction à l'aide d'ententes d'intendance et de conservation et entreprendre des études pour identifier l'habitat critique; and (4) déterminer la portée des menaces aux sites de reproduction et mettre en place des stratégies de gestion pour réduire les menaces.,"Il n'y a pas suffisamment de données pour déterminer les tendances de l'abondance de la mouette rosée au Canada. Un succès reproducteur faible suggère que les populations canadiennes pourraient déjà être en déclin ou le devenir bientôt. De 2005 à 2018, seulement 4 des 23 tentatives de nidification confirmées ont produits des oisillons sur l'île Nasaruvaalik, et aucun ne semble avoir survécu et pris son envol. Ils ne se reproduisent plus près de Churchill depuis 2006.",Aucune mouette rosée n'a été observée à un site auparavant utilisé près de Churchill et le taux de réussite de la reproduction est bas au site sur l'île Nasaruvaalik.,Ne montre aucun progrès
Sébaste à oeil épineux du type I,Sebastes sp. type I,Poisson de mer,Préoccupante,4/30/2012,4/1/2007,4/13/2023,Maintenir des populations durables dans l’aire de répartition connue de chacune des espèces au sein des eaux canadiennes du Pacifique.,"L'évaluation du sébaste à œil épineux et du sébaste à taches noires de noir de 2020 a montré que les populations du Nord (principalement le sébaste à taches noires) et du Sud (principalement à œil épineux) sont en déclin, mais elles devraient se stabiliser à des niveaux durables dans le cadre du régime de gestion actuel. En outre, le statut des deux populations est situé dans le niveau « sain » (au-dessus du point de référence provisoire le plus haut du stock) dans le cadre de l'approche de précaution (AP)","Bien que des progrès aient été accomplis vers l’atteinte du but et des objectifs du plan de gestion, il reste encore du travail à faire pour mieux comprendre la structure du stock et pour effectuer des évaluations régulières des stocks de sébastolobe à longues épines, de sébaste à œil épineux et de sébaste à taches noires",Montre des progrès
Sébaste à oeil épineux du type II,Sebastes sp. type II,Poisson de mer,Préoccupante,4/30/2012,4/1/2007,4/13/2023,Maintenir des populations durables dans l’aire de répartition connue de chacune des espèces au sein des eaux canadiennes du Pacifique.,"L'évaluation du sébaste à œil épineux et du sébaste à taches noires de noir de 2020 a montré que les populations du Nord (principalement le sébaste à taches noires) et du Sud (principalement à œil épineux) sont en déclin, mais elles devraient se stabiliser à des niveaux durables dans le cadre du régime de gestion actuel. En outre, le statut des deux populations est situé dans le niveau « sain » (au-dessus du point de référence provisoire le plus haut du stock) dans le cadre de l'approche de précaution (AP)","Bien que des progrès aient été accomplis vers l’atteinte du but et des objectifs du plan de gestion, il reste encore du travail à faire pour mieux comprendre la structure du stock et pour effectuer des évaluations régulières des stocks de sébastolobe à longues épines, de sébaste à œil épineux et de sébaste à taches noires.",Montre des progrès
